Alcaldía,Fecha,Predicción de Delitos
TLAHUAC,2024-01-23,16
TLAHUAC,2024-01-24,16
TLAHUAC,2024-01-25,16
TLAHUAC,2024-01-26,16
TLAHUAC,2024-01-27,16
TLAHUAC,2024-01-28,16
TLAHUAC,2024-01-29,16
TLAHUAC,2024-01-30,16
TLAHUAC,2024-01-31,16
TLAHUAC,2024-02-01,16
TLAHUAC,2024-02-02,16
TLAHUAC,2024-02-03,16
TLAHUAC,2024-02-04,16
TLAHUAC,2024-02-05,16
TLAHUAC,2024-02-06,16
TLAHUAC,2024-02-07,16
TLAHUAC,2024-02-08,16
TLAHUAC,2024-02-09,16
TLAHUAC,2024-02-10,16
TLAHUAC,2024-02-11,16
TLAHUAC,2024-02-12,16
TLAHUAC,2024-02-13,16
TLAHUAC,2024-02-14,16
TLAHUAC,2024-02-15,16
TLAHUAC,2024-02-16,16
TLAHUAC,2024-02-17,16
TLAHUAC,2024-02-18,16
TLAHUAC,2024-02-19,16
TLAHUAC,2024-02-20,16
TLAHUAC,2024-02-21,16
TLAHUAC,2024-02-22,16
TLAHUAC,2024-02-23,16
TLAHUAC,2024-02-24,16
TLAHUAC,2024-02-25,16
TLAHUAC,2024-02-26,16
TLAHUAC,2024-02-27,16
TLAHUAC,2024-02-28,16
TLAHUAC,2024-02-29,16
TLAHUAC,2024-03-01,16
TLAHUAC,2024-03-02,16
TLAHUAC,2024-03-03,16
TLAHUAC,2024-03-04,16
TLAHUAC,2024-03-05,16
TLAHUAC,2024-03-06,16
TLAHUAC,2024-03-07,16
TLAHUAC,2024-03-08,16
TLAHUAC,2024-03-09,16
TLAHUAC,2024-03-10,16
TLAHUAC,2024-03-11,16
TLAHUAC,2024-03-12,16
TLAHUAC,2024-03-13,16
TLAHUAC,2024-03-14,16
TLAHUAC,2024-03-15,16
TLAHUAC,2024-03-16,16
TLAHUAC,2024-03-17,16
TLAHUAC,2024-03-18,16
TLAHUAC,2024-03-19,16
TLAHUAC,2024-03-20,16
TLAHUAC,2024-03-21,16
TLAHUAC,2024-03-22,16
TLAHUAC,2024-03-23,16
TLAHUAC,2024-03-24,16
TLAHUAC,2024-03-25,16
TLAHUAC,2024-03-26,16
TLAHUAC,2024-03-27,16
TLAHUAC,2024-03-28,16
TLAHUAC,2024-03-29,16
TLAHUAC,2024-03-30,16
TLAHUAC,2024-03-31,16
TLAHUAC,2024-04-01,16
TLAHUAC,2024-04-02,16
TLAHUAC,2024-04-03,16
TLAHUAC,2024-04-04,16
TLAHUAC,2024-04-05,16
TLAHUAC,2024-04-06,16
TLAHUAC,2024-04-07,16
TLAHUAC,2024-04-08,16
TLAHUAC,2024-04-09,16
TLAHUAC,2024-04-10,16
TLAHUAC,2024-04-11,16
TLAHUAC,2024-04-12,16
TLAHUAC,2024-04-13,16
TLAHUAC,2024-04-14,16
TLAHUAC,2024-04-15,16
TLAHUAC,2024-04-16,16
TLAHUAC,2024-04-17,16
TLAHUAC,2024-04-18,16
TLAHUAC,2024-04-19,16
TLAHUAC,2024-04-20,16
TLAHUAC,2024-04-21,16
TLAHUAC,2024-04-22,16
TLAHUAC,2024-04-23,16
TLAHUAC,2024-04-24,16
TLAHUAC,2024-04-25,16
TLAHUAC,2024-04-26,16
TLAHUAC,2024-04-27,16
TLAHUAC,2024-04-28,16
TLAHUAC,2024-04-29,16
TLAHUAC,2024-04-30,16
TLAHUAC,2024-05-01,16
TLAHUAC,2024-05-02,16
TLAHUAC,2024-05-03,16
TLAHUAC,2024-05-04,16
TLAHUAC,2024-05-05,16
TLAHUAC,2024-05-06,16
TLAHUAC,2024-05-07,16
TLAHUAC,2024-05-08,16
TLAHUAC,2024-05-09,16
TLAHUAC,2024-05-10,16
TLAHUAC,2024-05-11,16
TLAHUAC,2024-05-12,16
TLAHUAC,2024-05-13,16
TLAHUAC,2024-05-14,16
TLAHUAC,2024-05-15,16
TLAHUAC,2024-05-16,16
TLAHUAC,2024-05-17,16
TLAHUAC,2024-05-18,16
TLAHUAC,2024-05-19,16
TLAHUAC,2024-05-20,16
TLAHUAC,2024-05-21,16
TLAHUAC,2024-05-22,16
TLAHUAC,2024-05-23,16
TLAHUAC,2024-05-24,16
TLAHUAC,2024-05-25,16
TLAHUAC,2024-05-26,16
TLAHUAC,2024-05-27,16
TLAHUAC,2024-05-28,16
TLAHUAC,2024-05-29,16
TLAHUAC,2024-05-30,16
TLAHUAC,2024-05-31,16
TLAHUAC,2024-06-01,16
TLAHUAC,2024-06-02,16
TLAHUAC,2024-06-03,16
TLAHUAC,2024-06-04,16
TLAHUAC,2024-06-05,16
TLAHUAC,2024-06-06,16
TLAHUAC,2024-06-07,16
TLAHUAC,2024-06-08,16
TLAHUAC,2024-06-09,16
TLAHUAC,2024-06-10,16
TLAHUAC,2024-06-11,16
TLAHUAC,2024-06-12,16
TLAHUAC,2024-06-13,16
TLAHUAC,2024-06-14,16
TLAHUAC,2024-06-15,16
TLAHUAC,2024-06-16,16
TLAHUAC,2024-06-17,16
TLAHUAC,2024-06-18,16
TLAHUAC,2024-06-19,16
TLAHUAC,2024-06-20,16
TLAHUAC,2024-06-21,16
TLAHUAC,2024-06-22,16
TLAHUAC,2024-06-23,16
TLAHUAC,2024-06-24,16
TLAHUAC,2024-06-25,16
TLAHUAC,2024-06-26,16
